tconst,primaryTitle,originalTitle,isAdult,releaseYear,runtimeMinutes,genres,averageRating,numVotes,nudity,violence,profanity,alcohol,frightening,actors,countriesOfOrigin,productionCompanies,budget,grossWorldwide
tt0048579,Samurai II: Duel at Ichijoji Temple,Zoku Miyamoto Musashi: Ichijôji no kettô,0,1955.0,104.0,"Action,Adventure,Biography",7.3,6848,Mild,Moderate,Mild,Mild,Mild,"Toshirô Mifune, Mariko Okada, Kôji Tsuruta, Kaoru Yachigusa, Michiyo Kogure, Mitsuko Mito, Akihiko Hirata, Daisuke Katô, Kurôemon Onoe, Sachio Sakai, Yû Fujiki, Machiko Kitagawa, Eiko Miyoshi, Eijirô Tôno, Kenjin Iida, Akira Tani, Kô Mihashi, Kokuten Kôdô",Japan,Toho Company,,
tt3606888,A Street Cat Named Bob,A Street Cat Named Bob,0,2016.0,103.0,"Biography,Drama,Family",7.3,33264,None,Mild,Mild,Moderate,Moderate,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt, Anthony Head, Darren Evans, Tony Jayawardena, Adam Riches, Llewella Gideon, Lorraine Ashbourne, Akbar Kurtha, John Henshaw, Beth Goddard, Ivana Basic, Jessica Woodland, Mark Behan, Gary Hughes, Nina Wadia",United Kingdom,"Studio Pictures, Hindsight Media, Iris Productions",7312000.0,14672481.302
tt0151568,Topsy-Turvy,Topsy-Turvy,0,1999.0,160.0,"Biography,Comedy,Drama",7.3,13339,Mild,None,Mild,Moderate,Mild,"Jim Broadbent, Allan Corduner, Dexter Fletcher, Sukie Smith, Roger Heathcott, Wendy Nottingham, Stefan Bednarczyk, Geoffrey Hutchings, Timothy Spall, Francis Lee, Bill Neenan, Adam Searle, Martin Savage, Lesley Manville, Kate Doherty, Kenneth Hadley, Keeley Gainey, Ron Cook","United Kingdom, United States","Goldwyn Films, Newmarket Capital Group, The Greenlight Fund",11616200.000000002,7133174.9860000005
tt2872750,Shaun the Sheep Movie,Shaun the Sheep Movie,0,2015.0,85.0,"Adventure,Animation,Comedy",7.3,42920,None,None,None,None,Mild,"Justin Fletcher, John Sparkes, Omid Djalili, Richard Webber, Kate Harbour, Tim Hands, Andy Nyman, Simon Greenall, Emma Tate, Jack Paulson, Sean Connolly, Henry Burton, Dhimant Vyas, Sophie Laughton, Nia Medi James, Stanley Unwin, Nick Park","United Kingdom, France","StudioCanal, Aardman Animations, Anton Capital Entertainment (ACE)",22850000.0,97075371.492
tt0049513,Moby Dick,Moby Dick,0,1956.0,116.0,"Adventure,Drama",7.3,21469,None,Mild,Mild,Mild,Mild,"Gregory Peck, Richard Basehart, Leo Genn, James Robertson Justice, Harry Andrews, Bernard Miles, Noel Purcell, Edric Connor, Mervyn Johns, Joseph Tomelty, Francis De Wolff, Philip Stainton, Royal Dano, Seamus Kelly, Friedrich von Ledebur, Orson Welles, Tamba Allen, Tom Clegg",United Kingdom,Moulin Productions Inc.,4113000.0,276.028
tt3521126,The Disaster Artist,The Disaster Artist,0,2017.0,104.0,"Biography,Comedy,Drama",7.3,162277,Moderate,None,Severe,Mild,None,"James Franco, Dave Franco, Ari Graynor, Seth Rogen, Alison Brie, Jacki Weaver, Paul Scheer, Zac Efron, Josh Hutcherson, June Diane Raphael, Megan Mullally, Jason Mantzoukas, Andrew Santino, Nathan Fielder, Joe Mande, Sharon Stone, John Early, Melanie Griffith",United States,"Good Universe, New Line Cinema, Point Grey Pictures",9140000.0,27256043.024
tt0067128,Get Carter,Get Carter,0,1971.0,112.0,"Action,Crime,Thriller",7.3,36270,Moderate,Moderate,Moderate,Moderate,Moderate,"Michael Caine, Ian Hendry, Britt Ekland, John Osborne, Tony Beckley, George Sewell, Geraldine Moffat, Dorothy White, Rosemarie Dunham, Petra Markham, Alun Armstrong, Bryan Mosley, Glynn Edwards, Bernard Hepton, Terence Rigby, John Bindon, Godfrey Quigley, Kevin Brennan",United Kingdom,Metro-Goldwyn-Mayer British Studios,871215.0000000001,55209.256
tt7765910,Aravindha Sametha,Aravindha Sametha Veera Raghava,0,2018.0,162.0,"Action,Drama",7.3,9240,None,Severe,Mild,Mild,Severe,"N.T. Rama Rao Jr., Pooja Hegde, Jagapathi Babu, Naveen Chandra, Supriya Pathak, Eesha Rebba, V.K. Naresh, Sunil, Nagendra Babu, Charan Ram, Subhalekha Sudhakar, Devayani, Easwari Rao, Brahmaji, Shatru, Rao Ramesh, Lakshmi Gopalaswamy, Vinay Varma",India,Haarika & Hassine Creations,,391888.468
tt6186910,Imaikkaa Nodigal,Imaikkaa Nodigal,0,2018.0,170.0,"Action,Crime,Drama",7.3,6081,Mild,Severe,Moderate,Mild,Moderate,"Nayanthara, Atharvaa Murali, Anurag Kashyap, Raashi Khanna, Vijay Sethupathi, Devan, Ramesh Thilak, Vinoth Kishan, Manasvi Kottachi, Sai Krishna, Abishek Raaja, Beesu Sureswa, Vikram Anand, Udhayabanu Maheshwaran, Ranesh Thiagarajan, Jeeva Ravi, Aarthi, Rebbaca",India,"Cameo Films India, Drumsticks Productions",,211470.352
tt0112461,The Basketball Diaries,The Basketball Diaries,0,1995.0,102.0,"Biography,Crime,Drama",7.3,119160,Moderate,Severe,Severe,Severe,Severe,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio, Patrick McGaw, Mark Wahlberg, Roy Cooper, Vincent Pastore, Bruno Kirby, Jimmy Papiris, Nick Gaetani, Alexander Chaplin, Ben Jorgensen, Josh Mostel, Juliette Lewis, Michael Imperioli, Akiko Ashley, Ernie Hudson",United States,"New Line Cinema, Island Pictures",1828000.0,2195828.332
tt0029606,A Star Is Born,A Star Is Born,0,1937.0,111.0,"Drama,Romance",7.3,10629,None,None,None,Mild,Mild,"Janet Gaynor, Fredric March, Adolphe Menjou, May Robson, Andy Devine, Lionel Stander, Owen Moore, Peggy Wood, Elizabeth Jenns, Edgar Kennedy, J.C. Nugent, Guinn 'Big Boy' Williams, Jean Acker, Eric Alden, Irving Bacon, Jane Barnes, Vince Barnett, Clara Blandick",United States,"Selznick International Pictures, Entertain Me Productions",1072706.046,
tt1925421,Elena,Elena,0,2011.0,109.0,"Crime,Drama,Thriller",7.3,15062,None,Mild,Mild,Moderate,Mild,"Nadezhda Markina, Andrey Smirnov, Aleksey Rozin, Elena Lyadova, Evgeniya Konushkina, Igor Ogurtsov, Vasiliy Michkov, Aleksey Maslodudov, Ekaterina Tarkovskaya, Ivan Mulin, Nikita Slepchenkov, Yura Borisov, Igor Yurtaev, Yaroslav Zhalnin, Vasily Prokopyev, Dmitry Pavlenko, Aleksandr Pasechny, Anastasiya Sapozhnikova",Russia,Non-Stop Productions,,2036305.17
tt0033723,Hold That Ghost,Hold That Ghost,0,1941.0,86.0,"Comedy,Crime,Horror",7.3,4203,None,Mild,None,Mild,Moderate,"Bud Abbott, Lou Costello, Richard Carlson, Joan Davis, Evelyn Ankers, Mischa Auer, Marc Lawrence, Shemp Howard, Russell Hicks, William B. Davidson, Ted Lewis, The Andrews Sisters, Laverne Andrews, Maxene Andrews, Patty Andrews, Bobby Barber, Brooks Benedict, Jeanne Blanche",United States,Universal Pictures,173660.0,
